Category,Total Importance,Feature Count,Avg Importance/Feature,Top Features
Price Ratio,0.48772812,51,0.009563296448950674,"EXECUTIVE_price_ratio, BUKIT MERAH_price_ratio, Terrace_price_ratio"
Location,0.44737306,40,0.01118432655930519,"BUKIT MERAH_price_ratio, BISHAN_price_ratio, QUEENSTOWN"
Flat Type,0.26479873,14,0.018914195043700083,"EXECUTIVE_price_ratio, Type S1, Type S2"
Other,0.113455705,23,0.00493285675411639,"Terrace, CHOA CHU KANG, DBSS"
Size & Floor,0.05418905,5,0.01083780974149704,"CENTRAL AREA_price_ratio, CENTRAL AREA, floor_area_sqm"
Lease,0.01305742,4,0.003264355007559061,"long_lease, short_lease, remaining_lease"
