Feature,Importance
remaining_lease,28126
floor_area_sqm,17813
area_by_storey,15128
lease_exp_factor,2448
Model A,971
Premium Apartment_price_ratio,746
Improved_price_ratio,720
SENGKANG_price_ratio,565
5 ROOM,549
3 ROOM_price_ratio,459
YISHUN,446
TAMPINES_price_ratio,432
JURONG WEST_price_ratio,428
Maisonette_price_ratio,424
BUKIT MERAH_price_ratio,420
KALLANG/WHAMPOA,414
PUNGGOL,412
WOODLANDS,411
CHOA CHU KANG,401
HOUGANG_price_ratio,401
BEDOK_price_ratio,401
SEMBAWANG_price_ratio,395
New Generation_price_ratio,394
4 ROOM,385
DBSS,382
QUEENSTOWN,377
TOA PAYOH,344
BUKIT BATOK,341
BUKIT PANJANG_price_ratio,337
CLEMENTI,307
PASIR RIS_price_ratio,278
BISHAN,269
JURONG EAST_price_ratio,269
SERANGOON,260
EXECUTIVE,251
GEYLANG,247
Simplified_price_ratio,206
Standard,196
CENTRAL AREA_price_ratio,164
Model A2,117
Model A_price_ratio,115
2 ROOM,111
BUKIT TIMAH,92
long_lease,91
Adjoined flat,85
Improved,81
Premium Apartment,79
MARINE PARADE_price_ratio,74
Type S1,55
BUKIT MERAH,54
KALLANG/WHAMPOA_price_ratio,54
WOODLANDS_price_ratio,53
YISHUN_price_ratio,53
BUKIT PANJANG,51
Maisonette,49
SENGKANG,47
Model A-Maisonette,46
TAMPINES,45
PUNGGOL_price_ratio,43
BEDOK,43
GEYLANG_price_ratio,42
DBSS_price_ratio,42
4 ROOM_price_ratio,41
JURONG EAST,40
PASIR RIS,39
JURONG WEST,39
Multi Generation_price_ratio,38
Premium Apartment Loft_price_ratio,36
Terrace_price_ratio,36
Standard_price_ratio,35
SERANGOON_price_ratio,35
CHOA CHU KANG_price_ratio,35
short_lease,34
SEMBAWANG,34
QUEENSTOWN_price_ratio,34
BISHAN_price_ratio,33
BUKIT BATOK_price_ratio,33
Type S2,33
3 ROOM,33
TOA PAYOH_price_ratio,32
HOUGANG,31
EXECUTIVE_price_ratio,29
New Generation,25
CENTRAL AREA,25
Simplified,24
CLEMENTI_price_ratio,24
Adjoined flat_price_ratio,16
2 ROOM_price_ratio,14
MARINE PARADE,13
Improved-Maisonette_price_ratio,10
Type S1_price_ratio,7
Type S2_price_ratio,5
Model A-Maisonette_price_ratio,4
BUKIT TIMAH_price_ratio,4
Premium Apartment Loft,3
Terrace,3
Improved-Maisonette,2
Multi Generation,2
MULTI-GENERATION_price_ratio,0
MULTI-GENERATION,0
