Feature,Importance
remaining_lease,26350
floor_area_sqm,16880
area_by_storey,14226
lease_exp_factor,2406
Model A,914
Improved_price_ratio,701
Premium Apartment_price_ratio,655
5 ROOM,539
SENGKANG_price_ratio,528
JURONG WEST_price_ratio,444
PUNGGOL,414
BUKIT MERAH_price_ratio,411
3 ROOM_price_ratio,408
TAMPINES_price_ratio,407
WOODLANDS,406
YISHUN,394
Maisonette_price_ratio,392
CHOA CHU KANG,383
4 ROOM,374
KALLANG/WHAMPOA,371
SEMBAWANG_price_ratio,371
TOA PAYOH,355
DBSS,344
HOUGANG_price_ratio,341
BUKIT PANJANG_price_ratio,337
BEDOK_price_ratio,335
BUKIT BATOK,333
New Generation_price_ratio,329
JURONG EAST_price_ratio,322
QUEENSTOWN,320
CLEMENTI,309
PASIR RIS_price_ratio,266
GEYLANG,256
EXECUTIVE,248
SERANGOON,239
BISHAN,236
Simplified_price_ratio,201
CENTRAL AREA_price_ratio,165
Standard,145
Model A_price_ratio,120
Model A2,109
Adjoined flat,104
BUKIT TIMAH,95
2 ROOM,92
long_lease,86
Improved,78
MARINE PARADE_price_ratio,73
Premium Apartment,66
short_lease,62
YISHUN_price_ratio,58
BUKIT MERAH,54
Type S1,54
WOODLANDS_price_ratio,53
SENGKANG,50
JURONG WEST,47
QUEENSTOWN_price_ratio,44
Multi Generation_price_ratio,43
BEDOK,41
TOA PAYOH_price_ratio,41
KALLANG/WHAMPOA_price_ratio,40
3 ROOM,39
4 ROOM_price_ratio,39
TAMPINES,39
PUNGGOL_price_ratio,38
SEMBAWANG,38
Standard_price_ratio,38
Model A-Maisonette,37
GEYLANG_price_ratio,37
CHOA CHU KANG_price_ratio,37
Type S2,36
Maisonette,36
BUKIT PANJANG,35
CLEMENTI_price_ratio,34
DBSS_price_ratio,34
Premium Apartment Loft_price_ratio,31
New Generation,31
PASIR RIS,30
HOUGANG,29
JURONG EAST,29
SERANGOON_price_ratio,27
BUKIT BATOK_price_ratio,26
Terrace_price_ratio,23
Simplified,21
BISHAN_price_ratio,21
CENTRAL AREA,20
EXECUTIVE_price_ratio,17
Adjoined flat_price_ratio,14
2 ROOM_price_ratio,12
MARINE PARADE,9
Improved-Maisonette_price_ratio,7
Model A-Maisonette_price_ratio,7
Type S2_price_ratio,5
Type S1_price_ratio,4
BUKIT TIMAH_price_ratio,4
Improved-Maisonette,3
Terrace,3
Multi Generation,3
Premium Apartment Loft,2
MULTI-GENERATION_price_ratio,0
MULTI-GENERATION,0
