Feature,Importance
remaining_lease,27990
floor_area_sqm,17699
area_by_storey,15279
lease_exp_factor,2527
Model A,877
Improved_price_ratio,739
Premium Apartment_price_ratio,730
SENGKANG_price_ratio,558
5 ROOM,503
3 ROOM_price_ratio,491
BUKIT MERAH_price_ratio,472
JURONG WEST_price_ratio,471
YISHUN,446
WOODLANDS,446
PUNGGOL,436
TAMPINES_price_ratio,420
BEDOK_price_ratio,418
Maisonette_price_ratio,415
KALLANG/WHAMPOA,415
4 ROOM,414
HOUGANG_price_ratio,400
CHOA CHU KANG,399
SEMBAWANG_price_ratio,391
New Generation_price_ratio,380
TOA PAYOH,369
DBSS,368
BUKIT PANJANG_price_ratio,368
BUKIT BATOK,358
QUEENSTOWN,356
JURONG EAST_price_ratio,336
CLEMENTI,322
GEYLANG,300
EXECUTIVE,257
SERANGOON,254
PASIR RIS_price_ratio,250
BISHAN,221
Simplified_price_ratio,192
Standard,174
CENTRAL AREA_price_ratio,160
2 ROOM,122
Model A_price_ratio,118
Model A2,106
Adjoined flat,92
Premium Apartment,83
Improved,80
MARINE PARADE_price_ratio,79
BUKIT TIMAH,78
short_lease,73
PUNGGOL_price_ratio,57
WOODLANDS_price_ratio,57
Model A-Maisonette,56
KALLANG/WHAMPOA_price_ratio,56
SENGKANG,55
YISHUN_price_ratio,55
GEYLANG_price_ratio,49
BEDOK,48
TOA PAYOH_price_ratio,46
BUKIT BATOK_price_ratio,45
BUKIT MERAH,44
QUEENSTOWN_price_ratio,42
BUKIT PANJANG,42
CHOA CHU KANG_price_ratio,41
Type S1,41
PASIR RIS,39
JURONG WEST,39
Maisonette,39
SEMBAWANG,37
TAMPINES,36
Standard_price_ratio,35
4 ROOM_price_ratio,34
DBSS_price_ratio,34
long_lease,33
CLEMENTI_price_ratio,32
Multi Generation_price_ratio,32
Terrace_price_ratio,31
HOUGANG,31
New Generation,29
JURONG EAST,29
Premium Apartment Loft_price_ratio,28
SERANGOON_price_ratio,26
Type S2,23
BISHAN_price_ratio,22
3 ROOM,21
2 ROOM_price_ratio,20
Simplified,19
EXECUTIVE_price_ratio,17
CENTRAL AREA,15
Improved-Maisonette_price_ratio,11
MARINE PARADE,7
Adjoined flat_price_ratio,7
BUKIT TIMAH_price_ratio,6
Model A-Maisonette_price_ratio,6
Premium Apartment Loft,5
Type S2_price_ratio,4
Multi Generation,3
Terrace,2
Type S1_price_ratio,1
Improved-Maisonette,0
MULTI-GENERATION_price_ratio,0
MULTI-GENERATION,0
